,sample_id,study,project,condition,rep_id,Strain Description,Strain,Culture Type,Evolved Sample,Base Media,Temperature (C),pH,Carbon Source (g/L),Nitrogen Source (g/L),Electron Acceptor,Trace Element Mixture,Supplement,Antibiotic for selection,Growth Rate (1/hr),Isolate Type,Additional Details,project_reference,Sequencing Machine,LibraryLayout,Platform,Biological Replicates,DOI,GEO,SRX,Run,R1,R2,contact,creator,passed_fastqc,passed_pct_reads_mapped,passed_reads_mapped_to_CDS,passed_global_correlation,full_name,passed_similar_replicates,passed_number_replicates,run_date,BioProject,BioSample,ScientificName,GEO Sample,PMID,aerobicity,approx_OD,dilution_rate,growth_phase,reference_condition,time,passed_replicate_correlations
p1k_00644,pcoli__ggTPH__1,pColi,pcoli,ggTPH,1,Escherichia coli K-12 MG1655 ggTPH,MG1655,Batch,No,M9,37.0,7.0,glycerol(4),NH4Cl(1),O2,,rhamnose(0.1),Carbenicillin(50),0.506740011,Clonal,"Cells grown till OD 0.3, rhamnose added to 0.1g/L, and harvested after 2 hours",p1k_00708;p1k_00709,,PAIRED,ILLUMINA,2.0,doi.org/10.1016/j.ymben.2020.07.002,GSE133607,,,s3://precise-db/raw_data/pcoli/ggTPH-1_S7_L001_R1_001.fastq.gz;s3://precise-db/raw_data/pcoli/ggTPH-1_S7_L002_R1_001.fastq.gz;s3://precise-db/raw_data/pcoli/ggTPH-1_S7_L003_R1_001.fastq.gz;s3://precise-db/raw_data/pcoli/ggTPH-1_S7_L004_R1_001.fastq.gz,s3://precise-db/raw_data/pcoli/ggTPH-1_S7_L001_R2_001.fastq.gz;s3://precise-db/raw_data/pcoli/ggTPH-1_S7_L002_R2_001.fastq.gz;s3://precise-db/raw_data/pcoli/ggTPH-1_S7_L003_R2_001.fastq.gz;s3://precise-db/raw_data/pcoli/ggTPH-1_S7_L004_R2_001.fastq.gz,Justin Tan,Justin Tan,True,True,True,True,pcoli:ggTPH,True,True,,,,,,,,,,,,,
p1k_00645,pcoli__ggTPH__2,pColi,pcoli,ggTPH,2,Escherichia coli K-12 MG1655 ggTPH,MG1655,Batch,No,M9,37.0,7.0,glycerol(4),NH4Cl(1),O2,,rhamnose(0.1),Carbenicillin(50),0.484818356,Clonal,"Cells grown till OD 0.3, rhamnose added to 0.1g/L, and harvested after 2 hours",p1k_00708;p1k_00709,,PAIRED,ILLUMINA,2.0,doi.org/10.1016/j.ymben.2020.07.002,GSE133607,,,s3://precise-db/raw_data/pcoli/ggTPH-2_S9_L001_R1_001.fastq.gz;s3://precise-db/raw_data/pcoli/ggTPH-2_S9_L002_R1_001.fastq.gz;s3://precise-db/raw_data/pcoli/ggTPH-2_S9_L003_R1_001.fastq.gz;s3://precise-db/raw_data/pcoli/ggTPH-2_S9_L004_R1_001.fastq.gz,s3://precise-db/raw_data/pcoli/ggTPH-2_S9_L001_R2_001.fastq.gz;s3://precise-db/raw_data/pcoli/ggTPH-2_S9_L002_R2_001.fastq.gz;s3://precise-db/raw_data/pcoli/ggTPH-2_S9_L003_R2_001.fastq.gz;s3://precise-db/raw_data/pcoli/ggTPH-2_S9_L004_R2_001.fastq.gz,Justin Tan,Justin Tan,True,True,True,True,pcoli:ggTPH,True,True,,,,,,,,,,,,,
p1k_00646,pcoli__hsAANAT__1,pColi,pcoli,hsAANAT,1,Escherichia coli K-12 MG1655 hsAANAT,MG1655,Batch,No,M9,37.0,7.0,glycerol(4),NH4Cl(1),O2,,rhamnose(0.1),Carbenicillin(50),0.404375526,Clonal,"Cells grown till OD 0.3, rhamnose added to 0.1g/L, and harvested after 2 hours",p1k_00708;p1k_00709,,PAIRED,ILLUMINA,2.0,doi.org/10.1016/j.ymben.2020.07.002,GSE133607,,,s3://precise-db/raw_data/pcoli/hsAANAT-Set2-3_S18_L001_R1_001.fastq.gz;s3://precise-db/raw_data/pcoli/hsAANAT-Set2-3_S18_L002_R1_001.fastq.gz;s3://precise-db/raw_data/pcoli/hsAANAT-Set2-3_S18_L003_R1_001.fastq.gz;s3://precise-db/raw_data/pcoli/hsAANAT-Set2-3_S18_L004_R1_001.fastq.gz,s3://precise-db/raw_data/pcoli/hsAANAT-Set2-3_S18_L001_R2_001.fastq.gz;s3://precise-db/raw_data/pcoli/hsAANAT-Set2-3_S18_L002_R2_001.fastq.gz;s3://precise-db/raw_data/pcoli/hsAANAT-Set2-3_S18_L003_R2_001.fastq.gz;s3://precise-db/raw_data/pcoli/hsAANAT-Set2-3_S18_L004_R2_001.fastq.gz,Justin Tan,Justin Tan,True,True,True,True,pcoli:hsAANAT,True,True,,,,,,,,,,,,,
p1k_00647,pcoli__hsAANAT__2,pColi,pcoli,hsAANAT,2,Escherichia coli K-12 MG1655 hsAANAT,MG1655,Batch,No,M9,37.0,7.0,glycerol(4),NH4Cl(1),O2,,rhamnose(0.1),Carbenicillin(50),0.394807263,Clonal,"Cells grown till OD 0.3, rhamnose added to 0.1g/L, and harvested after 2 hours",p1k_00708;p1k_00709,,PAIRED,ILLUMINA,2.0,doi.org/10.1016/j.ymben.2020.07.002,GSE133607,,,s3://precise-db/raw_data/pcoli/hsAANAT-2_S12_L001_R1_001.fastq.gz;s3://precise-db/raw_data/pcoli/hsAANAT-2_S12_L002_R1_001.fastq.gz;s3://precise-db/raw_data/pcoli/hsAANAT-2_S12_L003_R1_001.fastq.gz;s3://precise-db/raw_data/pcoli/hsAANAT-2_S12_L004_R1_001.fastq.gz,s3://precise-db/raw_data/pcoli/hsAANAT-2_S12_L001_R2_001.fastq.gz;s3://precise-db/raw_data/pcoli/hsAANAT-2_S12_L002_R2_001.fastq.gz;s3://precise-db/raw_data/pcoli/hsAANAT-2_S12_L003_R2_001.fastq.gz;s3://precise-db/raw_data/pcoli/hsAANAT-2_S12_L004_R2_001.fastq.gz,Justin Tan,Justin Tan,True,True,True,True,pcoli:hsAANAT,True,True,,,,,,,,,,,,,
p1k_00648,pcoli__hsASMT__1,pColi,pcoli,hsASMT,1,Escherichia coli K-12 MG1655 hsASMT,MG1655,Batch,No,M9,37.0,7.0,glycerol(4),NH4Cl(1),O2,,rhamnose(0.1),Carbenicillin(50),0.61649683,Clonal,"Cells grown till OD 0.3, rhamnose added to 0.1g/L, and harvested after 2 hours",p1k_00708;p1k_00709,,PAIRED,ILLUMINA,2.0,doi.org/10.1016/j.ymben.2020.07.002,GSE133607,,,s3://precise-db/raw_data/pcoli/hsASMT-1_S3_L001_R1_001.fastq.gz;s3://precise-db/raw_data/pcoli/hsASMT-1_S3_L002_R1_001.fastq.gz;s3://precise-db/raw_data/pcoli/hsASMT-1_S3_L003_R1_001.fastq.gz;s3://precise-db/raw_data/pcoli/hsASMT-1_S3_L004_R1_001.fastq.gz,s3://precise-db/raw_data/pcoli/hsASMT-1_S3_L001_R2_001.fastq.gz;s3://precise-db/raw_data/pcoli/hsASMT-1_S3_L002_R2_001.fastq.gz;s3://precise-db/raw_data/pcoli/hsASMT-1_S3_L003_R2_001.fastq.gz;s3://precise-db/raw_data/pcoli/hsASMT-1_S3_L004_R2_001.fastq.gz,Justin Tan,Justin Tan,True,True,True,True,pcoli:hsASMT,True,True,,,,,,,,,,,,,
p1k_00649,pcoli__hsASMT__2,pColi,pcoli,hsASMT,2,Escherichia coli K-12 MG1655 hsASMT,MG1655,Batch,No,M9,37.0,7.0,glycerol(4),NH4Cl(1),O2,,rhamnose(0.1),Carbenicillin(50),0.623535177,Clonal,"Cells grown till OD 0.3, rhamnose added to 0.1g/L, and harvested after 2 hours",p1k_00708;p1k_00709,,PAIRED,ILLUMINA,2.0,doi.org/10.1016/j.ymben.2020.07.002,GSE133607,,,s3://precise-db/raw_data/pcoli/hsASMT-2_S4_L001_R1_001.fastq.gz;s3://precise-db/raw_data/pcoli/hsASMT-2_S4_L002_R1_001.fastq.gz;s3://precise-db/raw_data/pcoli/hsASMT-2_S4_L003_R1_001.fastq.gz;s3://precise-db/raw_data/pcoli/hsASMT-2_S4_L004_R1_001.fastq.gz,s3://precise-db/raw_data/pcoli/hsASMT-2_S4_L001_R2_001.fastq.gz;s3://precise-db/raw_data/pcoli/hsASMT-2_S4_L002_R2_001.fastq.gz;s3://precise-db/raw_data/pcoli/hsASMT-2_S4_L003_R2_001.fastq.gz;s3://precise-db/raw_data/pcoli/hsASMT-2_S4_L004_R2_001.fastq.gz,Justin Tan,Justin Tan,True,True,True,True,pcoli:hsASMT,True,True,,,,,,,,,,,,,
p1k_00650,pcoli__hsPNMT_mb__1,pColi,pcoli,hsPNMT_mb,1,Escherichia coli K-12 MG1655 hsPNMT_mb,MG1655,Batch,No,M9,37.0,7.0,glycerol(4),NH4Cl(1),O2,,rhamnose(0.1),Carbenicillin(50),0.616309201,Clonal,"Cells grown till OD 0.3, rhamnose added to 0.1g/L, and harvested after 2 hours",p1k_00708;p1k_00709,,PAIRED,ILLUMINA,2.0,doi.org/10.1016/j.ymben.2020.07.002,GSE133607,,,s3://precise-db/raw_data/pcoli/hsPNMT-mb-1_S12_L001_R1_001.fastq.gz;s3://precise-db/raw_data/pcoli/hsPNMT-mb-1_S12_L002_R1_001.fastq.gz;s3://precise-db/raw_data/pcoli/hsPNMT-mb-1_S12_L003_R1_001.fastq.gz;s3://precise-db/raw_data/pcoli/hsPNMT-mb-1_S12_L004_R1_001.fastq.gz,s3://precise-db/raw_data/pcoli/hsPNMT-mb-1_S12_L001_R2_001.fastq.gz;s3://precise-db/raw_data/pcoli/hsPNMT-mb-1_S12_L002_R2_001.fastq.gz;s3://precise-db/raw_data/pcoli/hsPNMT-mb-1_S12_L003_R2_001.fastq.gz;s3://precise-db/raw_data/pcoli/hsPNMT-mb-1_S12_L004_R2_001.fastq.gz,Justin Tan,Justin Tan,True,True,True,True,pcoli:hsPNMT_mb,True,True,,,,,,,,,,,,,
p1k_00651,pcoli__hsPNMT_mb__2,pColi,pcoli,hsPNMT_mb,2,Escherichia coli K-12 MG1655 hsPNMT_mb,MG1655,Batch,No,M9,37.0,7.0,glycerol(4),NH4Cl(1),O2,,rhamnose(0.1),Carbenicillin(50),0.628528332,Clonal,"Cells grown till OD 0.3, rhamnose added to 0.1g/L, and harvested after 2 hours",p1k_00708;p1k_00709,,PAIRED,ILLUMINA,2.0,doi.org/10.1016/j.ymben.2020.07.002,GSE133607,,,s3://precise-db/raw_data/pcoli/hsPNMT-mb-2_S13_L001_R1_001.fastq.gz;s3://precise-db/raw_data/pcoli/hsPNMT-mb-2_S13_L002_R1_001.fastq.gz;s3://precise-db/raw_data/pcoli/hsPNMT-mb-2_S13_L003_R1_001.fastq.gz;s3://precise-db/raw_data/pcoli/hsPNMT-mb-2_S13_L004_R1_001.fastq.gz,s3://precise-db/raw_data/pcoli/hsPNMT-mb-2_S13_L001_R2_001.fastq.gz;s3://precise-db/raw_data/pcoli/hsPNMT-mb-2_S13_L002_R2_001.fastq.gz;s3://precise-db/raw_data/pcoli/hsPNMT-mb-2_S13_L003_R2_001.fastq.gz;s3://precise-db/raw_data/pcoli/hsPNMT-mb-2_S13_L004_R2_001.fastq.gz,Justin Tan,Justin Tan,True,True,True,True,pcoli:hsPNMT_mb,True,True,,,,,,,,,,,,,
p1k_00652,pcoli__hsTPH__1,pColi,pcoli,hsTPH,1,Escherichia coli K-12 MG1655 hsTPH,MG1655,Batch,No,M9,37.0,7.0,glycerol(4),NH4Cl(1),O2,,rhamnose(0.1),Carbenicillin(50),0.599402417,Clonal,"Cells grown till OD 0.3, rhamnose added to 0.1g/L, and harvested after 2 hours",p1k_00708;p1k_00709,,PAIRED,ILLUMINA,2.0,doi.org/10.1016/j.ymben.2020.07.002,GSE133607,,,s3://precise-db/raw_data/pcoli/Sample6-1_S9_L001_R1_001.fastq.gz;s3://precise-db/raw_data/pcoli/Sample6-1_S9_L002_R1_001.fastq.gz;s3://precise-db/raw_data/pcoli/Sample6-1_S9_L003_R1_001.fastq.gz;s3://precise-db/raw_data/pcoli/Sample6-1_S9_L004_R1_001.fastq.gz,s3://precise-db/raw_data/pcoli/Sample6-1_S9_L001_R2_001.fastq.gz;s3://precise-db/raw_data/pcoli/Sample6-1_S9_L002_R2_001.fastq.gz;s3://precise-db/raw_data/pcoli/Sample6-1_S9_L003_R2_001.fastq.gz;s3://precise-db/raw_data/pcoli/Sample6-1_S9_L004_R2_001.fastq.gz,Justin Tan,Justin Tan,True,True,True,True,pcoli:hsTPH,True,True,,,,,,,,,,,,,
p1k_00653,pcoli__hsTPH__2,pColi,pcoli,hsTPH,2,Escherichia coli K-12 MG1655 hsTPH,MG1655,Batch,No,M9,37.0,7.0,glycerol(4),NH4Cl(1),O2,,rhamnose(0.1),Carbenicillin(50),0.599708494,Clonal,"Cells grown till OD 0.3, rhamnose added to 0.1g/L, and harvested after 2 hours",p1k_00708;p1k_00709,,PAIRED,ILLUMINA,2.0,doi.org/10.1016/j.ymben.2020.07.002,GSE133607,,,s3://precise-db/raw_data/pcoli/Sample6-2_S10_L001_R1_001.fastq.gz;s3://precise-db/raw_data/pcoli/Sample6-2_S10_L002_R1_001.fastq.gz;s3://precise-db/raw_data/pcoli/Sample6-2_S10_L003_R1_001.fastq.gz;s3://precise-db/raw_data/pcoli/Sample6-2_S10_L004_R1_001.fastq.gz,s3://precise-db/raw_data/pcoli/Sample6-2_S10_L001_R2_001.fastq.gz;s3://precise-db/raw_data/pcoli/Sample6-2_S10_L002_R2_001.fastq.gz;s3://precise-db/raw_data/pcoli/Sample6-2_S10_L003_R2_001.fastq.gz;s3://precise-db/raw_data/pcoli/Sample6-2_S10_L004_R2_001.fastq.gz,Justin Tan,Justin Tan,True,True,True,True,pcoli:hsTPH,True,True,,,,,,,,,,,,,
p1k_00654,pcoli__hsTPH_E2K__1,pColi,pcoli,hsTPH_E2K,1,Escherichia coli K-12 MG1655 hsTPH_E2K,MG1655,Batch,No,M9,37.0,7.0,glycerol(4),NH4Cl(1),O2,,rhamnose(0.1),Carbenicillin(50),0.533112169,Clonal,"Cells grown till OD 0.3, rhamnose added to 0.1g/L, and harvested after 2 hours",p1k_00708;p1k_00709,,PAIRED,ILLUMINA,2.0,doi.org/10.1016/j.ymben.2020.07.002,GSE133607,,,s3://precise-db/raw_data/pcoli/Sample5-5_S5_L001_R1_001.fastq.gz;s3://precise-db/raw_data/pcoli/Sample5-5_S5_L002_R1_001.fastq.gz;s3://precise-db/raw_data/pcoli/Sample5-5_S5_L003_R1_001.fastq.gz;s3://precise-db/raw_data/pcoli/Sample5-5_S5_L004_R1_001.fastq.gz,s3://precise-db/raw_data/pcoli/Sample5-5_S5_L001_R2_001.fastq.gz;s3://precise-db/raw_data/pcoli/Sample5-5_S5_L002_R2_001.fastq.gz;s3://precise-db/raw_data/pcoli/Sample5-5_S5_L003_R2_001.fastq.gz;s3://precise-db/raw_data/pcoli/Sample5-5_S5_L004_R2_001.fastq.gz,Justin Tan,Justin Tan,True,True,True,True,pcoli:hsTPH_E2K,True,True,,,,,,,,,,,,,
p1k_00655,pcoli__hsTPH_E2K__2,pColi,pcoli,hsTPH_E2K,2,Escherichia coli K-12 MG1655 hsTPH_E2K,MG1655,Batch,No,M9,37.0,7.0,glycerol(4),NH4Cl(1),O2,,rhamnose(0.1),Carbenicillin(50),0.538436151,Clonal,"Cells grown till OD 0.3, rhamnose added to 0.1g/L, and harvested after 2 hours",p1k_00708;p1k_00709,,PAIRED,ILLUMINA,2.0,doi.org/10.1016/j.ymben.2020.07.002,GSE133607,,,s3://precise-db/raw_data/pcoli/Sample5-6_S6_L001_R1_001.fastq.gz;s3://precise-db/raw_data/pcoli/Sample5-6_S6_L002_R1_001.fastq.gz;s3://precise-db/raw_data/pcoli/Sample5-6_S6_L003_R1_001.fastq.gz;s3://precise-db/raw_data/pcoli/Sample5-6_S6_L004_R1_001.fastq.gz,s3://precise-db/raw_data/pcoli/Sample5-6_S6_L001_R2_001.fastq.gz;s3://precise-db/raw_data/pcoli/Sample5-6_S6_L002_R2_001.fastq.gz;s3://precise-db/raw_data/pcoli/Sample5-6_S6_L003_R2_001.fastq.gz;s3://precise-db/raw_data/pcoli/Sample5-6_S6_L004_R2_001.fastq.gz,Justin Tan,Justin Tan,True,True,True,True,pcoli:hsTPH_E2K,True,True,,,,,,,,,,,,,
p1k_00656,pcoli__hsTPH_E2K_N91I_P99C__1,pColi,pcoli,hsTPH_E2K_N91I_P99C,1,Escherichia coli K-12 MG1655 hsTPH_E2K_N91I_P99C,MG1655,Batch,No,M9,37.0,7.0,glycerol(4),NH4Cl(1),O2,,rhamnose(0.1),Carbenicillin(50),0.587631349,Clonal,"Cells grown till OD 0.3, rhamnose added to 0.1g/L, and harvested after 2 hours",p1k_00708;p1k_00709,,PAIRED,ILLUMINA,2.0,doi.org/10.1016/j.ymben.2020.07.002,GSE133607,,,s3://precise-db/raw_data/pcoli/hsTPH-E2K-N91I-P99C-1_S17_L001_R1_001.fastq.gz;s3://precise-db/raw_data/pcoli/hsTPH-E2K-N91I-P99C-1_S17_L002_R1_001.fastq.gz;s3://precise-db/raw_data/pcoli/hsTPH-E2K-N91I-P99C-1_S17_L003_R1_001.fastq.gz;s3://precise-db/raw_data/pcoli/hsTPH-E2K-N91I-P99C-1_S17_L004_R1_001.fastq.gz,s3://precise-db/raw_data/pcoli/hsTPH-E2K-N91I-P99C-1_S17_L001_R2_001.fastq.gz;s3://precise-db/raw_data/pcoli/hsTPH-E2K-N91I-P99C-1_S17_L002_R2_001.fastq.gz;s3://precise-db/raw_data/pcoli/hsTPH-E2K-N91I-P99C-1_S17_L003_R2_001.fastq.gz;s3://precise-db/raw_data/pcoli/hsTPH-E2K-N91I-P99C-1_S17_L004_R2_001.fastq.gz,Justin Tan,Justin Tan,True,True,True,True,pcoli:hsTPH_E2K_N91I_P99C,True,True,,,,,,,,,,,,,
p1k_00657,pcoli__hsTPH_E2K_N91I_P99C__2,pColi,pcoli,hsTPH_E2K_N91I_P99C,2,Escherichia coli K-12 MG1655 hsTPH_E2K_N91I_P99C,MG1655,Batch,No,M9,37.0,7.0,glycerol(4),NH4Cl(1),O2,,rhamnose(0.1),Carbenicillin(50),0.585367081,Clonal,"Cells grown till OD 0.3, rhamnose added to 0.1g/L, and harvested after 2 hours",p1k_00708;p1k_00709,,PAIRED,ILLUMINA,2.0,doi.org/10.1016/j.ymben.2020.07.002,GSE133607,,,s3://precise-db/raw_data/pcoli/hsTPH-E2K-N91I-P99C-2_S18_L001_R1_001.fastq.gz;s3://precise-db/raw_data/pcoli/hsTPH-E2K-N91I-P99C-2_S18_L002_R1_001.fastq.gz;s3://precise-db/raw_data/pcoli/hsTPH-E2K-N91I-P99C-2_S18_L003_R1_001.fastq.gz;s3://precise-db/raw_data/pcoli/hsTPH-E2K-N91I-P99C-2_S18_L004_R1_001.fastq.gz,s3://precise-db/raw_data/pcoli/hsTPH-E2K-N91I-P99C-2_S18_L001_R2_001.fastq.gz;s3://precise-db/raw_data/pcoli/hsTPH-E2K-N91I-P99C-2_S18_L002_R2_001.fastq.gz;s3://precise-db/raw_data/pcoli/hsTPH-E2K-N91I-P99C-2_S18_L003_R2_001.fastq.gz;s3://precise-db/raw_data/pcoli/hsTPH-E2K-N91I-P99C-2_S18_L004_R2_001.fastq.gz,Justin Tan,Justin Tan,True,True,True,True,pcoli:hsTPH_E2K_N91I_P99C,True,True,,,,,,,,,,,,,
p1k_00658,pcoli__hsTPH_N158trunc__1,pColi,pcoli,hsTPH_N158trunc,1,Escherichia coli K-12 MG1655 hsTPH_N158trunc,MG1655,Batch,No,M9,37.0,7.0,glycerol(4),NH4Cl(1),O2,,rhamnose(0.1),Carbenicillin(50),0.52644502,Clonal,"Cells grown till OD 0.3, rhamnose added to 0.1g/L, and harvested after 2 hours",p1k_00708;p1k_00709,,PAIRED,ILLUMINA,2.0,doi.org/10.1016/j.ymben.2020.07.002,GSE133607,,,s3://precise-db/raw_data/pcoli/hsTPH-N158trunc-Set4-7_S21_L001_R1_001.fastq.gz;s3://precise-db/raw_data/pcoli/hsTPH-N158trunc-Set4-7_S21_L002_R1_001.fastq.gz;s3://precise-db/raw_data/pcoli/hsTPH-N158trunc-Set4-7_S21_L003_R1_001.fastq.gz;s3://precise-db/raw_data/pcoli/hsTPH-N158trunc-Set4-7_S21_L004_R1_001.fastq.gz,s3://precise-db/raw_data/pcoli/hsTPH-N158trunc-Set4-7_S21_L001_R2_001.fastq.gz;s3://precise-db/raw_data/pcoli/hsTPH-N158trunc-Set4-7_S21_L002_R2_001.fastq.gz;s3://precise-db/raw_data/pcoli/hsTPH-N158trunc-Set4-7_S21_L003_R2_001.fastq.gz;s3://precise-db/raw_data/pcoli/hsTPH-N158trunc-Set4-7_S21_L004_R2_001.fastq.gz,Justin Tan,Justin Tan,True,True,True,True,pcoli:hsTPH_N158trunc,True,True,,,,,,,,,,,,,
p1k_00659,pcoli__hsTPH_N158trunc__2,pColi,pcoli,hsTPH_N158trunc,2,Escherichia coli K-12 MG1655 hsTPH_N158trunc,MG1655,Batch,No,M9,37.0,7.0,glycerol(4),NH4Cl(1),O2,,rhamnose(0.1),Carbenicillin(50),0.51982993,Clonal,"Cells grown till OD 0.3, rhamnose added to 0.1g/L, and harvested after 2 hours",p1k_00708;p1k_00709,,PAIRED,ILLUMINA,2.0,doi.org/10.1016/j.ymben.2020.07.002,GSE133607,,,s3://precise-db/raw_data/pcoli/hsTPH-N158trunc-Set4-8_S22_L001_R1_001.fastq.gz;s3://precise-db/raw_data/pcoli/hsTPH-N158trunc-Set4-8_S22_L002_R1_001.fastq.gz;s3://precise-db/raw_data/pcoli/hsTPH-N158trunc-Set4-8_S22_L003_R1_001.fastq.gz;s3://precise-db/raw_data/pcoli/hsTPH-N158trunc-Set4-8_S22_L004_R1_001.fastq.gz,s3://precise-db/raw_data/pcoli/hsTPH-N158trunc-Set4-8_S22_L001_R2_001.fastq.gz;s3://precise-db/raw_data/pcoli/hsTPH-N158trunc-Set4-8_S22_L002_R2_001.fastq.gz;s3://precise-db/raw_data/pcoli/hsTPH-N158trunc-Set4-8_S22_L003_R2_001.fastq.gz;s3://precise-db/raw_data/pcoli/hsTPH-N158trunc-Set4-8_S22_L004_R2_001.fastq.gz,Justin Tan,Justin Tan,True,True,True,True,pcoli:hsTPH_N158trunc,True,True,,,,,,,,,,,,,
p1k_00660,pcoli__hsTPH_N174trunc__1,pColi,pcoli,hsTPH_N174trunc,1,Escherichia coli K-12 MG1655 hsTPH_N174trunc,MG1655,Batch,No,M9,37.0,7.0,glycerol(4),NH4Cl(1),O2,,rhamnose(0.1),Carbenicillin(50),0.567885536,Clonal,"Cells grown till OD 0.3, rhamnose added to 0.1g/L, and harvested after 2 hours",p1k_00708;p1k_00709,,PAIRED,ILLUMINA,2.0,doi.org/10.1016/j.ymben.2020.07.002,GSE133607,,,s3://precise-db/raw_data/pcoli/Sample5-1_S1_L001_R1_001.fastq.gz;s3://precise-db/raw_data/pcoli/Sample5-1_S1_L002_R1_001.fastq.gz;s3://precise-db/raw_data/pcoli/Sample5-1_S1_L003_R1_001.fastq.gz;s3://precise-db/raw_data/pcoli/Sample5-1_S1_L004_R1_001.fastq.gz,s3://precise-db/raw_data/pcoli/Sample5-1_S1_L001_R2_001.fastq.gz;s3://precise-db/raw_data/pcoli/Sample5-1_S1_L002_R2_001.fastq.gz;s3://precise-db/raw_data/pcoli/Sample5-1_S1_L003_R2_001.fastq.gz;s3://precise-db/raw_data/pcoli/Sample5-1_S1_L004_R2_001.fastq.gz,Justin Tan,Justin Tan,True,True,True,True,pcoli:hsTPH_N174trunc,True,True,,,,,,,,,,,,,
p1k_00661,pcoli__hsTPH_N174trunc__2,pColi,pcoli,hsTPH_N174trunc,2,Escherichia coli K-12 MG1655 hsTPH_N174trunc,MG1655,Batch,No,M9,37.0,7.0,glycerol(4),NH4Cl(1),O2,,rhamnose(0.1),Carbenicillin(50),0.565559966,Clonal,"Cells grown till OD 0.3, rhamnose added to 0.1g/L, and harvested after 2 hours",p1k_00708;p1k_00709,,PAIRED,ILLUMINA,2.0,doi.org/10.1016/j.ymben.2020.07.002,GSE133607,,,s3://precise-db/raw_data/pcoli/Sample5-2_S2_L001_R1_001.fastq.gz;s3://precise-db/raw_data/pcoli/Sample5-2_S2_L002_R1_001.fastq.gz;s3://precise-db/raw_data/pcoli/Sample5-2_S2_L003_R1_001.fastq.gz;s3://precise-db/raw_data/pcoli/Sample5-2_S2_L004_R1_001.fastq.gz,s3://precise-db/raw_data/pcoli/Sample5-2_S2_L001_R2_001.fastq.gz;s3://precise-db/raw_data/pcoli/Sample5-2_S2_L002_R2_001.fastq.gz;s3://precise-db/raw_data/pcoli/Sample5-2_S2_L003_R2_001.fastq.gz;s3://precise-db/raw_data/pcoli/Sample5-2_S2_L004_R2_001.fastq.gz,Justin Tan,Justin Tan,True,True,True,True,pcoli:hsTPH_N174trunc,True,True,,,,,,,,,,,,,
p1k_00662,pcoli__hsTPH_Ntermtrunc__1,pColi,pcoli,hsTPH_Ntermtrunc,1,Escherichia coli K-12 MG1655 hsTPH_Ntermtrunc,MG1655,Batch,No,M9,37.0,7.0,glycerol(4),NH4Cl(1),O2,,rhamnose(0.1),Carbenicillin(50),0.655567487,Clonal,"Cells grown till OD 0.3, rhamnose added to 0.1g/L, and harvested after 2 hours",p1k_00708;p1k_00709,,PAIRED,ILLUMINA,2.0,doi.org/10.1016/j.ymben.2020.07.002,GSE133607,,,s3://precise-db/raw_data/pcoli/Sample5-3_S3_L001_R1_001.fastq.gz;s3://precise-db/raw_data/pcoli/Sample5-3_S3_L002_R1_001.fastq.gz;s3://precise-db/raw_data/pcoli/Sample5-3_S3_L003_R1_001.fastq.gz;s3://precise-db/raw_data/pcoli/Sample5-3_S3_L004_R1_001.fastq.gz,s3://precise-db/raw_data/pcoli/Sample5-3_S3_L001_R2_001.fastq.gz;s3://precise-db/raw_data/pcoli/Sample5-3_S3_L002_R2_001.fastq.gz;s3://precise-db/raw_data/pcoli/Sample5-3_S3_L003_R2_001.fastq.gz;s3://precise-db/raw_data/pcoli/Sample5-3_S3_L004_R2_001.fastq.gz,Justin Tan,Justin Tan,True,True,True,True,pcoli:hsTPH_Ntermtrunc,True,True,,,,,,,,,,,,,
p1k_00663,pcoli__hsTPH_Ntermtrunc__2,pColi,pcoli,hsTPH_Ntermtrunc,2,Escherichia coli K-12 MG1655 hsTPH_Ntermtrunc,MG1655,Batch,No,M9,37.0,7.0,glycerol(4),NH4Cl(1),O2,,rhamnose(0.1),Carbenicillin(50),0.657993133,Clonal,"Cells grown till OD 0.3, rhamnose added to 0.1g/L, and harvested after 2 hours",p1k_00708;p1k_00709,,PAIRED,ILLUMINA,2.0,doi.org/10.1016/j.ymben.2020.07.002,GSE133607,,,s3://precise-db/raw_data/pcoli/Sample5-4_S4_L001_R1_001.fastq.gz;s3://precise-db/raw_data/pcoli/Sample5-4_S4_L002_R1_001.fastq.gz;s3://precise-db/raw_data/pcoli/Sample5-4_S4_L003_R1_001.fastq.gz;s3://precise-db/raw_data/pcoli/Sample5-4_S4_L004_R1_001.fastq.gz,s3://precise-db/raw_data/pcoli/Sample5-4_S4_L001_R2_001.fastq.gz;s3://precise-db/raw_data/pcoli/Sample5-4_S4_L002_R2_001.fastq.gz;s3://precise-db/raw_data/pcoli/Sample5-4_S4_L003_R2_001.fastq.gz;s3://precise-db/raw_data/pcoli/Sample5-4_S4_L004_R2_001.fastq.gz,Justin Tan,Justin Tan,True,True,True,True,pcoli:hsTPH_Ntermtrunc,True,True,,,,,,,,,,,,,
